externalId,startDate,isCancelled,teamAName,teamBName,participantAName,participantBName,streamName,tournamentName,matchStatus,teamAScore,teamBScore,elo_a_before,elo_b_before,diff_elo,elo_expected_prob_a
NB228270726,2026-07-27 20:11:00+00:00,False,Chicago Bulls,Toronto Raptors,STING,EQUALIZER,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,63.0,55.0,1461.8263130143073,1495.2572897723333,-33.43097675802596,0.45203689094114347
NB229270726,2026-07-27 20:15:00+00:00,False,Milwaukee Bucks,Memphis Grizzlies,JUGGERNAUT,GRAVITY,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,54.0,52.0,1557.603464732301,1500.8449025397977,56.758562192503405,0.5809631699255412
NB230270726,2026-07-27 20:19:00+00:00,False,Oklahoma City Thunder,New York Knicks,DOMAIN,RAPTOR,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,75.0,63.0,1552.1978647931362,1483.1027211173016,69.0951436758346,0.5981454199523135
NB231270726,2026-07-27 20:23:00+00:00,False,Oklahoma City Thunder,Boston Celtics,PHARAOH,BLADE,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,61.0,66.0,1495.6151345853837,1525.8691909864324,-30.25405640104873,0.45657062681608734
NB232270726,2026-07-27 20:35:00+00:00,False,Oklahoma City Thunder,New York Knicks,MARINE,BULLSEYE,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,57.0,50.0,1560.4466672004298,1631.981217403156,-71.53455020272622,0.39848395590592744
NB233270726,2026-07-27 20:39:00+00:00,False,Chicago Bulls,Miami Heat,CALAMITY,BABYLON,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,57.0,55.0,1532.2242986847607,1450.402276804356,81.82202188040469,0.6156216981152335
NB234270726,2026-07-27 20:43:00+00:00,False,Los Angeles Lakers,Boston Celtics,COMMANDER,DAGGER,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,50.0,67.0,1548.1537008738212,1569.5360492637196,-21.382348389898425,0.46926711841369634
NB235270726,2026-07-27 20:47:00+00:00,False,Charlotte Hornets,Orlando Magic,GENERAL,RADIANT,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,48.0,59.0,1496.8707457818457,1479.8532229358236,17.017522846022075,0.524470618183412
NB236270726,2026-07-27 20:51:00+00:00,False,Charlotte Hornets,Dallas Mavericks,ADMIRAL,PATIENCE,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,61.0,51.0,1474.4796225329449,1519.7015234358098,-45.221900902864945,0.43528549233501135
NB237270726,2026-07-27 20:55:00+00:00,False,Memphis Grizzlies,Milwaukee Bucks,CLAW,KOBOLD,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,56.0,64.0,1477.60275479603,1524.6048162337445,-47.002061437714474,0.43276824264565894
NB238270726,2026-07-27 21:07:00+00:00,False,Boston Celtics,New York Knicks,TAAPZ,BULLSEYE,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,62.0,51.0,1834.2295495345038,1620.8958915884393,213.33365794606448,0.773476614882681
NB239270726,2026-07-27 21:11:00+00:00,False,Brooklyn Nets,Miami Heat,CYPHER,BABYLON,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,46.0,58.0,1490.6790039811488,1445.7897371817387,44.88926679941005,0.5642437696249251
NB240270726,2026-07-27 21:15:00+00:00,False,Toronto Raptors,Brooklyn Nets,EQUALIZER,DAGGER,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,62.0,57.0,1484.5868995982576,1581.5567105535602,-96.96981095530259,0.3639633288811151
NB241270726,2026-07-27 21:19:00+00:00,False,Memphis Grizzlies,Cleveland Cavaliers,GRAVITY,RADIANT,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,79.0,66.0,1495.816460578904,1491.4033236795567,4.413136899347364,0.5063506729848284
NB242270726,2026-07-27 21:23:00+00:00,False,New York Knicks,Los Angeles Lakers,RAPTOR,PATIENCE,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,59.0,55.0,1473.9678537078266,1507.7006270164504,-33.73277330862379,0.4516066032983958
NB243270726,2026-07-27 21:27:00+00:00,False,Boston Celtics,New York Knicks,BLADE,KOBOLD,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,59.0,52.0,1533.1192611096774,1533.0320368397254,0.08722426995200294,0.5001255258121995
