externalId,startDate,participantAName,participantBName,diff_avg_pts_for,diff_win_rate,diff_form5,diff_form3,diff_form2,diff_net_rating,diff_fatigue,diff_elo,elo_expected_prob_a,h2h_shrunk_full,h2h_shrunk_last5,h2h_n_meetings,avg_pts_for_prev_a,avg_pts_for_prev_b,volatility_prev_a,volatility_prev_b,hours_since_last_a,hours_since_last_b,matches_last_3h_a,matches_last_3h_b,market_prob_a,odds_a,odds_b,target_win_a,target_total
NB234260826,2026-08-26 21:39:00+00:00,JACKAL,LANES,-1.2364717785204036,-0.10166477603703594,-0.19999999999999996,-0.3333333333333333,0.0,-1.35108992243309,0,-32.38388546358169,0.4535303375596957,0.21294129219496197,0.42379126113764254,28,57.29015544041451,58.52662721893491,8.122035130631515,7.8838490115854265,0.5333333333333333,1.0666666666666667,3,3,,,,0,126.0
NB263260826,2026-08-26 21:43:00+00:00,KARMA,PRODIGY,-3.5403325986776224,-0.0716690042075736,-0.2,0.0,0.0,-1.862472450410742,0,-89.51030828797775,0.373960625825622,0.3247921251651244,0.38842694481138756,16,53.16774193548387,56.70807453416149,7.792054167756534,9.002000297997315,0.5333333333333333,1.0666666666666667,3,3,,,,0,119.0
NB236260826,2026-08-26 21:47:00+00:00,SPOOKY,OCEAN,2.2046892794665,0.017728622920409,-0.6,-0.6666666666666667,-0.5,-0.13570028060535577,1,-41.58127375009849,0.4404438152503388,0.3523550522002711,0.3523550522002711,1,55.21722846441948,53.01253918495298,7.900556930274602,7.809836935956281,0.5333333333333333,1.0666666666666667,3,2,,,,0,110.0
NB237260826,2026-08-26 21:51:00+00:00,LAW,MYTH,2.6761239385419344,-0.01737383204112347,-0.2,-0.6666666666666666,-0.5,1.3237198602709412,1,75.54322725188558,0.6070340152258978,0.4690766576254267,0.7142373401003991,63,53.2534435261708,50.577319587628864,7.976603078560872,7.42658824440021,0.5333333333333333,1.0666666666666667,3,2,,,,1,106.0
NB238260826,2026-08-26 21:55:00+00:00,PATIENCE,STING,7.280461702099721,0.01869919766785283,0.0,0.0,0.0,1.514352684726802,1,-30.07781153379733,0.4568223610910022,0.4511370601818337,0.31414327159600103,20,54.53416149068323,47.25369978858351,8.226566686684976,8.258733952273065,0.5333333333333333,1.0666666666666667,3,2,,,,1,89.0
NB239260826,2026-08-26 21:59:00+00:00,ZION,LEGACY,-0.8137652875357801,0.015925058548009408,0.19999999999999996,0.3333333333333333,0.0,1.2237054384595325,1,43.924541240194685,0.562877854497417,0.35350039372378167,0.4723901575544076,25,49.66984126984127,50.48360655737705,8.28583002927815,8.20948359701817,0.5333333333333333,1.0666666666666667,3,2,,,,1,130.0
NB240260826,2026-08-26 22:11:00+00:00,CURSE,LANES,-4.0270941169922665,-0.11606834752601991,0.0,-0.3333333333333333,0.0,-2.029064395836812,-1,-32.72478808214578,0.4530440214088522,0.5563945386740343,0.5346862317372677,37,54.52452830188679,58.551622418879056,8.8677340222594,7.885618436698547,1.0666666666666667,0.5333333333333333,3,4,,,,1,107.0
NB241260826,2026-08-26 22:15:00+00:00,CALAMITY,PRODIGY,0.5096881371290465,-0.09827078456543076,0.19999999999999996,0.0,0.0,-2.3683455410405543,-1,-98.04891434910088,0.3625265487759154,0.5906316371939788,0.6055673550115179,12,57.234146341463415,56.72445820433437,8.043009684340856,8.992833029763084,1.0666666666666667,0.5333333333333333,3,4,,,,0,132.0
NB242260826,2026-08-26 22:19:00+00:00,MARINE,OREZ,-3.125378918690764,0.02127700395226584,0.0,0.0,0.0,0.7173170638118265,1,-22.745626869362468,0.4673130964703272,0.4959141370587909,0.42991693176458984,28,54.55042016806723,57.67579908675799,7.756008956170634,7.990836208983965,1.0666666666666667,2.1333333333333333,3,2,,,,1,107.0
NB243260826,2026-08-26 22:23:00+00:00,JUGGERNAUT,SILVER,3.9016955434077687,0.023599952350068176,0.6,0.6666666666666667,0.5,-0.4307686198726657,1,16.944485379407524,0.5243657595051094,0.6194926076040875,0.6194926076040875,1,55.95348837209303,52.05179282868526,7.9610193730052154,6.654420092908799,1.0666666666666667,2.1333333333333333,3,2,,,,1,107.0
